id,soru,cevapa,cevapb,cevapc,cevapd,cevape,dogrucevap,verilencevap,dogruyanlis,aciklama,sinav,kacincisoru,kategori,resim
15, Bereketli sofralar sunardı bize yıldızı bol gökler. Bu dizede aşağıdaki ögelerden hangisi yoktur?,Zarf tamlayıcısı ,Belirtisiz nesne,Özne ,Yer tamlayıcısı ,,A,,bos,,1,15,1,
16, Zarf-fiil görevinde kullanılan bir sözcük cümleye zaman anlamı da kazandırabilir. Bu kurala uygun bir kullanım aşağıdaki cümlelerin hangisinde vardır?,Koşa koşa evin yolunu tuttu.,Ağaçların arasından geçip gitti.,Arkadaşını görünce hızla yanına koştu.,Usulca eğilerek karıncayı sudan çıkardı.,,C,,bos,,1,16,1,
17," 1. İleri görüşlü olmak önemli bir farktır. 2. Yaşlandıkça huyu değişti. 3. O, kendine yakışan kıyafeti bilir. 4. Topu tutup yukarı fırlattı. Numaralandırılmış cümlelerin hangisinde sıfat-fiil vardır?",1 ,2 ,3 ,4,,C,,bos,,1,17,1,
18," Evreni gösterecek tek pencere kitaptır. Bu cümlede sıfat-fiil, bir sıfat tamlaması oluşturmuştur. Aynı kullanım aşağıdakilerin hangisinde vardır?",Yağmurun gelişi bulutlardan belli olur.,Kitaplar yaşadıkça geçmiş unutulmayacaktır.,Konuşmasını öğreninceye kadar susmak güç değildir.,"Hiç umulmadık iyilikler vardır, yıldırım gibi düşer ve yakalarlar.",,D,,bos,,1,18,1,
19, Aşağıdaki cümlelerde altı çizili sözcüklerin hangisinde büyük harflerin yazımıyla ilgili bir yanlışlık yapılmıştır?,Anadolu’nun Doğusuna yılın ilk karı düştü.,Lale Festivali 25 Haziran’da başlayacak.,Dün ilk defa Van kedisi gördüm.,Semih amca yarın sabah İzmir’e gidecek.,,A,,bos,,1,19,1,
20," Sessiz dereler, solgun ağaçlar, sarı güller Dillenmiş ağızlarda tutuk dilli gönüller Aşağıdaki cümlelerin hangisinde virgül, bu dizelerdeki işlevine uygun kullanılmıştır?","Bugünlerde başımı kaşıyacak vakit bulamıyorum, dedi.","Fırtınadan, soğuktan, karanlıktan ve biraz da korkudan titriyordu.","Efendiler, müsaade buyurursanız, size bir sual sorayım.","Evet, kırk seneden beri Türkçe aşama aşama sadeleşiyor.",,B,,bos,,1,20,1,
26,"Aşağıdaki sayılardan hangisi, kenar uzunluğu tam sayı olmayan bir karenin alanını gösterir?",16 ,25 ,32,49,,C,,bos,,2,6,1,
41,"Balkanlar’da ortaya çıkan ayrılıkçı fikirler, Osmanlı aydınları arasında yeni anlayışlara neden oldu. Fransız İhtilali’nin etkilerini gören bu kişiler Batıcılık, Osmanlıcılık, İslamcılık ve Türkçülük gibi fikir akımlarına yöneldiler. Bu akımların ortak amacı, devleti içinde bulunduğu kötü durumdan kurtarmaktı. Bu paragrafa göre, Mustafa Kemal’in doğup büyüdüğü dönemle ilgili olarak, aşağıdaki yargılardan hangisine ulaşılamaz?",Fransız İhtilali’nin Osmanlı’da etkili olduğu,Kurtuluş için farklı fikirlerin ortaya çıktığı,Fikir akımlarının kötüye gidişi durdurduğu,Azınlıkların Osmanlı’dan ayrılmak istediği,,C,,bos,,3,1,1,
42,"Mustafa Kemal, komşularının oğlunun okula giderken giydiği askerî kıyafetten etkilenmiş ve asker olmaya karar vermişti. Bu nedenle gizlice askerî rüştiye sınavına hazırlanmış ve sonunda da Selanik Askerî Rüştiyesini kazanmıştı. Parçaya göre, Mustafa Kemal’in askerlik mesleğini seçmesinde etkili olan faktör, aşağıdakilerden hangisidir?",Yaşadığı çevre,Ekonomik şartlar,Ailesinin yönlendirmesi,Öğretmenlerinin teşviki,,A,,bos,,3,2,1,
43,"Atatürk’ün, çocukluk dönemini geçirdiği Selanik şehrinin aşağıdaki özelliklerinden hangisi, şehirde farklı kültürlerin bir arada yaşadığının kanıtıdır?",Çok uluslu yapısı,İşlek bir limanı olması,Askerî okulların bulunması,Avrupa ile demiryolu bağlantısının varlığı,,A,,bos,,3,3,1,
44,"Mustafa Kemal, Harp Akademisini bitirdikten sonra kurmay yüzbaşı olarak Şam’a atandı. 1909’da, Meşrutiyet’e karşı çıkan 31 Mart Ayaklanması’nı bastıran Hareket Ordusu’nun kurmay başkanlığını yaptı. Trablusgarp’ta İtalyanlara karşı Derne ve Tobruk’ta başarılı mücadeleler verdi. Bu başarısından sonra binbaşı rütbesine terfi etti. I. Dünya Savaşı’nda Çanakkale Cephesi’nde Arıburnu, Conkbayırı ve Anafartalar’da büyük başarılar elde etti. Bu başarılarından dolayı albay rütbesine yükseldi. Yukarıda Mustafa Kemal’in askerî öz geçmişi ile ilgili bir bölüm okudunuz. Buna göre, Mustafa Kemal’in askerlik hayatı ile ilgili aşağıdakilerden hangisine ulaşılamaz?",Aldığı görevlerde başarılı olduğuna,Farklı yerlerde askerî görevler yaptığına,Rütbelerini başarıları sonucunda aldığına,"Trablusgarp’a, Osmanlı’nın bilgisi dışında gittiğine",,D,,bos,,3,4,1,
45,"Mustafa Kemal, Selanik’te askerî görevlerini yerine getirirken, bir yandan da siyasi gelişmeleri takip ediyordu. II. Meşrutiyet’in ilanıyla yapılan değişiklikleri yeterli bulmuyor, daha büyük ve daha köklü  değişiklikler yapılması gerektiğine inanıyordu. Parçaya göre, Selanik’teki görevinin Mustafa Kemal’in hangi yönüne katkı sağladığı savunulabilir?",Eğitimcilik ,İnkılapçılık,Birleştiricilik ,İleri görüşlülük,,B,,bos,,3,5,1,
47,"Paris Barış Konferansı’nda, Batı Anadolu’nun Yunanlılara verilmesi kararlaştırılmıştır. Aşağıdakilerden hangisinin işgali, bu kararın eyleme geçirildiğinin bir göstergesidir?",Musul’un ,İzmir’in,Samsun’un ,İstanbul’un,,B,,bos,,3,7,1,
48,"Sömürge arayışı içindeki İtalya’nın, Osmanlı toprağı Trablusgarp’a saldırması üzerine Mustafa Kemal, bir grup genç Osmanlı subayı ile birlikte Trablusgarp’a gitti. Orada yerli halkı İtalyanlara karşı teşkilatlandırıp direnişe geçirerek, Derne ve Tobruk başarılarını kazandı. Mustafa Kemal’in üstlendiği bu görev, Millî Mücadele yıllarındaki çalışmalarına, aşağıdakilerden hangisi bakımında katkı sağlamış olabilir?",İnkılap yapma,Kanun çıkarma,Milleti örgütleme,Misakımillî’yi hazırlama,,C,,bos,,3,8,1,
49,"Aşağıdakilerden hangisi, Osmanlı yönetiminin, Mondros Ateşkes Anlaşması’nın uygulanması karşısında teslimiyetçi bir tutum içinde olduğunun göstergesidir?",Mebusan Meclisini toplaması,"Meclisin, Misakımillî’yi onaylaması",Temsil Heyeti ile Amasya Görüşmelerini yapması,Halkı işgaller karşısında sükûnete davet etmesi,,D,,bos,,3,9,1,
50," Mondros Ateşkes Anlaşması ülkede olumlu karşılanmış, hükûmetin başarısı olarak kabul edilmiştir. Mustafa Kemal’e göre ise bu antlaşmayla Osmanlı, kendisini, kayıtsız şartsız düşmana teslim etmekle kalmamış, düşmanın memleketi işgali için yardım etmeyi kabul etmiştir. Mondros Ateşkes Anlaşması’nın; I. Osmanlı ordusu derhâl terhis edilecek, II. Osmanlı savaş gemileri İtilaf  Devletleri’ne teslim olacak, III. Osmanlı demiryolları ve iletişim ağı, İtilaf Devletleri’nin hizmetine sunulacak, IV. İtilaf Devletleri, güvenliklerini tehdit edecek bir durum oluşursa, herhangi bir stratejik noktayı işgal edebilecek maddelerinden hangileri, Mustafa Kemal’in eleştirilerini destekler niteliktedir?",Yalnız IV ,I ve II,"I, II ve III ","I, II, III ve IV",,D,,bos,,3,10,1,
51," “Herhangi bir devletin teknik, sınai ve ekonomik yardımını memnuniyetle karşılarız. Yeter ki memleketimize sermaye getireceklerin içeride ve dışarıda devlet ve milletimizin özgürlüğü ile vatanımızın bütünlüğünü bozmaya yönelmiş gizli emelleri olmasın.”Mustafa Kemal Atatürk Bu vecizesinde Mustafa Kemal, dış yardımı hangi şartla kabul edebileceğini belirtmektedir?",Bağımsızlığımıza saygı duyulması,Ulusal egemenliğimizin sağlanması,Millî ekonomimizin kurulması,Eşitliğimizin korunması,,A,,bos,,3,11,1,
52," • Trakya-Paşaeli Cemiyeti, Edirne ve çevresini; • İzmir Müdafaa-i Hukuk-u Osmaniye Cemiyeti, İzmir ve çevresini; • Vilâyat-ı Şarkiye Müdafaa-i Hukuk-ı Milliye Cemiyeti de doğu illerimizi işgal etmek isteyen düşmana karşı kurulmuşlardır. Bu bilgilerden yola çıkarak, sözü edilen cemiyetler hakkında çıkarılabilecek ortak özellik, aşağıdakilerden hangisidir?",Tek merkezden yönetildikleri,Bölgesel amaçlı kuruldukları,Yunanlılara karşı oluşturuldukları,İstanbul Hükûmetince desteklendikleri,,B,,bos,,3,12,1,
53," Amasya Genelgesi’nin, “Milletin bağımsızlığını, yine milletin azim ve kararı kurtaracaktır.” maddesine göre Kurtuluş Savaşı’nın, aşağıdakilerden hangisine dayanılarak yapılacağı vurgulanmıştır?",Ulusa ,Orduya,Ekonomiye ,Demokrasiye,,A,,bos,,3,13,1,
54," Mustafa Kemal Paşa, Millî Mücadele Döneminde Anadolu’da çeşitli genelgeler yayınlamış ve kongreler düzenlemiştir. Mustafa Kemal Paşa’nın bu çalışmalarının, aşağıdakilerden hangisine katkı sağladığı savunulamaz?",Millî direnişin başlamasına,Ulusal birliğin kurulmasına,Millî uyanışın sağlanmasına,İstanbul Hükûmeti ile iş birliğine,,D,,bos,,3,14,1,
55," “ Eğer, Mondros Mütarekesi’ni takip eden aylarda, bir tayyareden (uçak) Anadolu’ya bakarsanız yer yer yanan ateşler görülecektir. Bunlar ışıldayan çoban ateşleridir. Bu ateşleri birleştirecek bir alev lazımdır. İşte onu Mustafa Kemal’in meşalesi temin etti.” Mareşal Fevzi Çakmak Millî Mücadelenin hazırlık döneminde Mustafa Kemal’in gerçekleştirdiği aşağıdaki faaliyetlerden hangisi, Fevzi Çakmak’ın sözlerini destekler niteliktedir?",Anadolu ve Rumeli Müdafaa-i Hukuk Cemiyetini kurması,Manda ve himayenin reddedilmesini sağlaması,Hıyanet-i Vataniye Kanunu’nu çıkarması,31 Mart Olayı’nı bastırması,,A,,bos,,3,15,1,
56," Misakımillî’nin bazı maddeleri şunlardır: • Türk ve Müslüman halkın çoğunluğunun bulunduğu yerler, birbirinden ayrılamaz bir bütündür. • Azınlıkların hakları, komşu ülkelerdeki Müslümanların da aynı haklardan yararlanmaları şartıyla kabul edilecek ve sağlanacaktır. • Millî ve ekonomik gelişmemizi sağlamak amacıyla siyasi, adli ve mali gelişmemizi engelleyen bütün kapitülasyonlar kaldırılacaktır. Verilen bilgilerde, aşağıdakilerden hangisini amaçlayan bir karar yoktur?",Bağımsızlığı,Uluslararası eşitliği,Ulusal egemenliği,Vatanın bütünlüğünü,,C,,bos,,3,16,1,
57," I. Vatanın bütünlüğü, milletin bağımsızlığı tehlikededir. II. Millî sınırlar içinde vatan bir bütündür, parçalanamaz. III. TBMM’nin üstünde hiçbir güç yoktur. IV. Millî ve ekonomik gelişmemizi mümkün kılmak amacıyla siyasi, adli ve mali gelişmemize engel olan kapitülasyonlar kaldırılmalıdır. Millî Mücadele Döneminin değişik zamanlarında alınan yukarıdaki kararlardan hangileri, yönetimde egemenlik anlayışının değiştiğinin kanıtıdır?",Yalnız III ,Yalnız IV,"I, II ve IV ","II, III ve IV",,A,,bos,,3,17,1,
58," “Sevr Antlaşması, bize yaşama hakkı tanımadı, ancak yaşama ümidimizi de kırmadı. Bilakis mücadele azmimizi kamçıladı.” diyen bir gazeteci, Sevr Antlaşması için aşağıdakilerden hangisini söylemek istemiştir?",Bağımsızlık ümidini kırdığını,Direnme gücünü artırdığını,Ümitsizliğe düşürdüğünü,Mücadele şansı bırakmadığını,,B,,bos,,3,18,1,
59," Hıyanet-i Vataniye Kanunu, TBMM’ye karşı çıkan isyanları engellemek ve sorumlularını cezalandırmak için çıkarılan bir kanundur. Buna göre, sözü edilen kanun hükmü, aşağıdaki durumlardan hangisine uygulanabilir?",Anzavur Ayaklanması’nı çıkaranlara,Mecliste farklı düşünceleri savunan gruplara,Misakımillî oylamasında red oyu kullanan vekillere,Mondros Ateşkes Antlaşması sonrasında Anadolu’yu işgal eden devletlere,,A,,bos,,3,19,1,
63,"Orak hücreli anemi hastalığının X kromozomu üzerindeki çekinik genlerle aktarılan bir hastalık olduğu bilinmektedir. Ayşe ve Faruk çifti evlenmeden önce danışmak için doktora başvuruyorlar: Ayşe : Annem orak hücreli anemi hastası ben değilim. Faruk: Ben orak hücreli anemi hastasıyım. Çeşitli endişelerimiz var. Doğacak çocuğumuzun orak hücreli anemi hastası olma olasılığını merak ediyoruz. Doktor, bu çiftin evlilik yapması durumunda çocuklarının hasta olma olasılığını kaç olarak açıklamıştır?",% 100(İPTAL SORU) ,% 75(İPTAL SORU), % 50 (İPTAL SORU), % 25(İPTAL SORU),,İ,,bos,,4,3,1,
66,"Bir çiftçi sebze tarlasında, eşeyli üremeyle hızla çoğalan bir bitki türü nedeniyle yeterince ürün elde edememiştir. Çiftçi, bu bitki türünü yok etmek için kimyasal ilaç kullanmıştır. Bir süre sonra bu bitkilerden bazılarının öldüğünü, bazılarının ise yaşadığını gözlemlemiştir. Bu bitkilerle ilgili olarak aşağıdakilerden hangisi söylenebilir?",Kullanılan ilaç hem ölen hem de yaşayan bitkilerin hepsinde aynı şekilde mutasyonlara yol açmıştır.,"Yaşayan bitkiler, ilaç uygulanmadan önce geçirmiş oldukları mutasyon nedeniyle kullanılan ilaca karşı dirençli hâle gelmiştir.", Ölen ve yaşayan bitkilerin genetik yapısı birbirinin tamamen aynısıdır.," Yaşayan bitkiler, daha fazla yavru üretme yeteneğine sahiptir.",,B,,bos,,4,6,1,
67,"Fen ve Teknoloji dersinde Murat sunum yaparken adaptasyonu, “Canlıların yaşadığı çevreye kalıtsal olarak uyum sağlaması” şeklinde tanımlamıştır. Murat, sınıftaki arkadaşlarından verilen bu tanıma uygun örnekler istemiştir. Hangi arkadaşının verdiği örnek, bu tanıma uygundur?",Ayla: Çöllerde yaşayan kaktüsün yapraklarının diken şeklinde olması,Mehmet: Futbol oynayan sporcuların bacak kaslarının daha gelişmiş olması, Neşe: İnsan popülasyonunda bazı bireylerin altı parmaklı olması, Kemal: Güneşlenen bir kişinin vücut renginin koyulaşması,,A,,bos,,4,7,1,
69,"Nehirde yaşayan bir balık türü ile ilgili araştırmada; • Aynı türün bireyleri arasında kalıtsal farklılıklar olduğu, • Ortama uyum sağlayamayanların zaman içerisinde yok olduğu, tespit ediliyor. Verilen bu bilgilerle aşağıdaki sonuçlardan hangisine ulaşılamaz?",Türün evrim geçirmekte olduğu,Türün yok olma tehlikesi altında olduğu,Türdeki bazı bireylerin ortama daha iyi uyum sağladığı,Türün bireyleri arasındaki kalıtsal farklılığın eşeyli üremeye bağlı olabileceği,,B,,bos,,4,9,1,
72," Fatma, metal bilyeyi havada tarttığında 4 N geliyor. Daha sonra aynı bilyeyi suda tarttığında ise 2 N geldiğini görüyor. Buna göre Fatma; I- Sıvı, cisimlere kaldırma kuvveti uygular. II- Kaldırma kuvveti yukarı yönlüdür. III- Sıvı içindeki cismin görünür ağırlığı azalır. sonuçlarından hangilerini çıkarabilir?",Yalnız I ,I ve II, II ve III ," I, II ve III",,D,,bos,,4,12,1,
74," Murat, su yüzeyinde duran topu eliyle suyun içine aşağı doğru itiyor. Topu iterken Murat, zorlandığı için daha fazla kuvvet uyguladığını fark ediyor. Yalnızca bu etkinlikten faydalanarak, kaldırma kuvveti ile ilgili aşağıdaki yorumlardan hangisi yapılabilir?","Kaldırma kuvveti, cismin batan hacmine bağlıdır.","Kaldırma kuvveti, sıvının hacmine bağlıdır."," Kaldırma kuvveti, yeri değişen sıvının ağırlığına bağlıdır."," Kaldırma kuvveti, sıvının yoğunluğuna bağlıdır.",,A,,bos,,4,14,1,
81,"1-11. sorularda boş bırakılan yere uygun gelen kelime ya da ifadeyi işaretleyiniz.   While Ahmet was driving to work, he hit a tree by the road. He was ………. because there was no damage to his car.",sad ,lucky,upset , careful,,B,,bos,,5,1,1,
82,Rihanna is my favourite pop singer. I like her costumes because they are very ……. .,ugly ,friendly,selfish , trendy,,D,,bos,,5,2,1,
83,Semih: I could speak when I was six months old. Berk : ………. I didn’t know that!,Absolutely right!,You are wrong.,Incredible!," Yes, I do.",,C,,bos,,5,3,1,
84,Canan: Are you coming with us to the cinema? Tolga : ………. I don’t have anything better to do.,Why not? ,I’m afraid I can’t.,Absolutely no! , Certainly not!,,A,,bos,,5,4,1,
85,Ayşe: I have a lot of homework to do. Ali : I’ll help you if you want. Ayşe: …………………..,What a pity!,You’re welcome.,Congratulations!," Great, thanks a lot.",,D,,bos,,5,5,1,
86,Aydın: I think girls aren’t interested in sports. They only care about fashion and wearing beautiful clothes. Aslı : ……………… Many young girls are crazy about sports.,That’s a good idea.,I disagree with you.,"Yes, that’s right."," Yes, absolutely.",,B,,bos,,5,6,1,
87,Hakan: My family is planning to move to a new city next year. I’ll miss my friends here. Cemre: Don’t worry. You are a very social boy and you’ll ………. easily there.,make a choice,get some advice,make new friends, help a few people,,C,,bos,,5,7,1,
88,Emel: I’m suffering from dandruff. ………. İrem : Sure. First of all you should use a special shampoo. You should rinse your hair several times after shampooing and you should use warm water.,Should I change my hair style?,May I borrow your moisturizer?,Do you use hair cream every day?, Can you give me a piece of advice?,,D,,bos,,5,8,1,
89,"Akın : …………………… Osman: I usually go to our village with my family. We have a nice time there. I really love farm life and animals. anywhere. Mother: …………...........…….. Selin : Really? Mum, you’re great!",What do you generally do at weekends?,When do you usually visit your village?,Which animals have you got in your farm?, What do you take with you for the animals?,,A,,bos,,5,9,1,
90, Mother: You look sad. What is the matter? Selin : I lost my favourite necklace. I can’t find it ,Good heavens! It is a gift from your dad.,"Sweety, you should be more careful.",Don’t worry. It is under your bed., Oh dear! It was so beautiful.,,C,,bos,,5,10,1,
91, Özgür : Excuse me. ……………………. Ahmet : I am sorry. I don’t know.,How can I go to Star Village?,Can I borrow your car?,How can I help you?, Can you stay with me?,,A,,bos,,5,11,1,
95," 15-16-17. soruları aşağıdaki parçaya göre cevaplayınız. I had an interesting dream last night. I was lying on the beach on a sunny day. The kids were playing on the sand. Suddenly I heard a scream. It was a little girl in the sea. At first I thought she was drowning. She shouted again, “Help! Shark, Shark!” I jumped into the sea to save her. A shark was coming towards us. I was trying to catch her, but I couldn’t. Surprisingly, a giant bird appeared above us. It took us to the beach. Then I woke up when Mum called my name: “Ömer!”.   Why did the little girl scream? Because …………………………",she was drowning.,it was a sunny day.,she saw a shark in the sea., there was a giant bird in the sky.,,C,,bos,,5,15,1,
96, Who saved Ömer and the little girl?,The bird ,The kids,The shark , The mother,,A,,bos,,5,16,1,
97, Why did Ömer wake up? Because……………………,a giant bird took them to the beach.,some kids were shouting near the sea.,his mother called his name., the little girl screamed.,,C,,bos,,5,17,1,
98, 18-19-20. soruları aşağıdaki parçaya göre cevaplayınız. My favourite pop star is David Black. He’s a pop star and a songwriter. He’s young and handsome. He’s 184 cm tall. He’s from London. He was born on 8 April 1980. He’s in his thirties. He has got short brown hair and brown eyes. He’s talkative and funny. He likes making jokes. He loves going to the cinema with friends. He loves his job because music makes him happy.   What does David Black look like?,He’s young and good-looking.,He likes going to the cinema.,He is talkative and funny., He likes making jokes.,,A,,bos,,5,18,1,
99, Why does he like his job? Because …………………..,he makes a lot of money.,singing makes him happy.,he’s a famous pop star., people love him a lot.,,B,,bos,,5,19,1,
100, What does he like doing in his spare time?,He likes dancing.,He likes doing sports.,He likes playing chess., He likes watching films.,,D,,bos,,5,20,1,
101,Aşağıdaki hadislerden hangisi İslam dininin paylaşma ve yardımlaşmaya verdiği önemi en iyi açıklar?,“Sadaka vermek malı eksiltmez.”," “Sağ elin verdiğini, sol el bilmemelidir.”",“Komşusu aç iken tok yatan bizden değildir.”,“Kardeşini güler yüzle karşılaman da sadakadır.”,,C,,bos,,6,1,1,
102,"“Onların (kurbanların) ne etleri ne de kanları Allah’a ulaşır. Fakat O’na sizin takvanız (Allah’ın emirlerine olan bağlılığınız) ulaşır...” (Hac suresi, 37. ayet) Bu ayette kurban kesmenin amaçlarından hangisi vurgulanmaktadır?",Fakirleri sevindirmek, Allah’ın emrini yerine getirmek,Yardımlaşma bilinci oluşturmak,Kardeşlik duygularını geliştirmek,,B,,bos,,6,2,1,
104,"Eskiden beri Müslüman toplumlar huzur ve güven içinde yaşamışlardır. Fakirler ve düşkünler gözetilmiş, yolda kalanlara ve yetimlere sahip çıkılmıştır. Bu metne göre öncelikli olarak aşağıdaki yargılardan hangisine ulaşılabilir?",Müslümanlar dinlerine bağlıdır., Müslümanlar arasında caydırıcı yasalar vardır.,Müslüman toplumlarda güvenlik iyi sağlanmıştır.,Müslümanlar yardımlaşma ve dayanışmaya önem vermiştir.,,D,,bos,,6,4,1,
105,"Öğretmen Elif’e Hac konusunda doğru (D) yanlış (Y) testi uygulamış ve Elif şu cevapları vermiştir. • Hac farz, umre ise sünnettir. (D) • Kâbe’yi 7 kez dönmeye “şavt” denir. (Y) • İhram, haccın farzlarındandır. (Y) Bu cevaplara göre, Elif hakkında aşağıdakilerden hangisi söylenebilir?",Haccın farzlarını doğru biliyor., Hac ile ilgili tüm görevleri doğru biliyor.,Hac ile ilgili görevlerin hiçbirini doğru bilmiyor.,"Haccın farz, umrenin ise sünnet olduğunu biliyor.",,D,,bos,,6,5,1,
106,• Depremzedelerin yaraları hâlâ sarılamadı. • Evsiz insanların sayısı her geçen gün artıyor. • İhtiyaç sahibi kimseler yeterince gözetilmiyor. Bu ve benzeri haberlerin arttığı bir toplumda aşağıdakilerden hangisinin yetersizliğinden söz edilebilir?,Yardımlaşma kurumlarının, Teknolojik imkânların,Sağlık hizmetlerinin,Üretim araçlarının,,A,,bos,,6,6,1,
107,"Kimsesiz ve yaşlı bir kadın olan Fatma Hanım, kendisine yardımcı olanlara “Beytullah’a yüz sür evladım!” diye dua ederdi. Fatma Hanım, bu duasıyla aşağıdakilerden hangisini kastetmiş olabilir?",“Allah kazancını bereketlendirsin!”," “Allah yüzünü ak çıkartsın, utandırmasın!”",“Allah hacca gitmeyi nasip etsin!”,“Allah seni cennette Peygamberimiz’e komşu etsin!”,,C,,bos,,6,7,1,
108,"Zekâtı farz kıldı Allah, Zengin kullar versin diye. Yoksulların yüzü gülsün, Mutluluğa ersin diye. Üzeyir GÜNDÜZ Bu dörtlükte zekâtla ilgili olarak aşağıdakilerden hangisine yer verilmemiştir?",Farz bir ibadet olduğuna, Yoksulları mutlu ettiğine,Zenginlerce yerine getirildiğine,"Fakirin, zenginin malındaki hakkı olduğuna",,D,,bos,,6,8,1,
